id,trial,rcond,cond,round,arm,out,block
2,7,neg,Random-Structure-Random,12,1,42.9005069897696,2
2,8,neg,Random-Structure-Random,12,1,42.7791458126972,2
2,9,neg,Random-Structure-Random,12,1,42.931284900744,2
2,10,neg,Random-Structure-Random,12,1,42.9563256984087,2
2,1,neg,Random-Structure-Random,13,1,45.6212645396035,2
2,2,neg,Random-Structure-Random,13,1,44.9814412351319,2
2,3,neg,Random-Structure-Random,13,1,45.1038262748136,2
2,4,neg,Random-Structure-Random,13,1,45.3830458004613,2
2,5,neg,Random-Structure-Random,13,1,45.3158943075608,2
2,6,neg,Random-Structure-Random,13,1,45.5010883403721,2
2,7,neg,Random-Structure-Random,13,1,45.7005965580428,2
2,8,neg,Random-Structure-Random,13,1,45.4995605490178,2
2,9,neg,Random-Structure-Random,13,1,45.2398642599656,2
2,10,neg,Random-Structure-Random,13,1,44.6625283261683,2
2,1,pos,Random-Structure-Random,14,1,2.90225847622442,2
2,2,pos,Random-Structure-Random,14,8,43.5527674254008,2
2,3,pos,Random-Structure-Random,14,7,37.9141978518209,2
2,4,pos,Random-Structure-Random,14,8,43.5951410369241,2
2,5,pos,Random-Structure-Random,14,8,43.5546295173616,2
2,6,pos,Random-Structure-Random,14,8,43.3323963034439,2
2,7,pos,Random-Structure-Random,14,8,43.3689416610233,2
2,8,pos,Random-Structure-Random,14,8,43.33308012692,2
2,9,pos,Random-Structure-Random,14,8,43.3314174331804,2
